model,setting,test,n,accuracy,precision,recall,f1
Gemma-3-12B,llm_zero,ceas08,300,0.92,0.8889,0.96,0.9231
Gemma-3-12B,llm_zero,spamassassin,300,0.9167,0.8698,0.98,0.9216
Gemma-3-12B,llm_zero,trec07,300,0.9533,0.9304,0.98,0.9545
Llama-3.1-8B,llm_zero,ceas08,300,0.9333,0.9114,0.96,0.9351
Llama-3.1-8B,llm_zero,enron,300,0.73,0.659,0.9533,0.7793
Llama-3.1-8B,llm_zero,ephishllm,300,0.8433,0.9813,0.7,0.8171
Llama-3.1-8B,llm_zero,kaggle,300,0.7967,0.7306,0.94,0.8222
Llama-3.1-8B,llm_zero,ling,300,0.93,0.951,0.9067,0.9283
Llama-3.1-8B,llm_zero,nazario,150,0.9733,1.0,0.9733,0.9865
Llama-3.1-8B,llm_zero,nigerian,150,1.0,1.0,1.0,1.0
Llama-3.1-8B,llm_zero,spamassassin,300,0.88,0.8239,0.9667,0.8896
Llama-3.1-8B,llm_zero,trec07,300,0.93,0.9057,0.96,0.932
Llama-3.2-1B,llm_zero,ceas08,300,0.3933,0.3806,0.34,0.3592
Llama-3.2-1B,llm_zero,enron,300,0.5867,0.5637,0.7667,0.6497
Llama-3.2-1B,llm_zero,ephishllm,300,0.5633,0.596,0.3933,0.4739
Llama-3.2-1B,llm_zero,kaggle,300,0.57,0.5471,0.8133,0.6542
Llama-3.2-1B,llm_zero,ling,300,0.6633,0.6017,0.9667,0.7417
Llama-3.2-1B,llm_zero,nazario,150,0.76,1.0,0.76,0.8636
Llama-3.2-1B,llm_zero,nigerian,150,0.6067,1.0,0.6067,0.7552
Llama-3.2-1B,llm_zero,spamassassin,300,0.6633,0.6161,0.8667,0.7202
Llama-3.2-1B,llm_zero,trec07,300,0.5533,0.5408,0.7067,0.6127
Llama-3.2-3B,llm_zero,ceas08,300,0.86,0.9576,0.7533,0.8433
Llama-3.2-3B,llm_zero,enron,300,0.8133,0.8672,0.74,0.7986
Llama-3.2-3B,llm_zero,ephishllm,300,0.67,1.0,0.34,0.5075
Llama-3.2-3B,llm_zero,kaggle,300,0.8833,0.9323,0.8267,0.8763
Llama-3.2-3B,llm_zero,ling,300,0.8733,1.0,0.7467,0.855
Llama-3.2-3B,llm_zero,nazario,150,0.8267,1.0,0.8267,0.9051
