model,setting,test,train_size,removed,accuracy,precision,recall,f1,cpu_sec_per_1000
logreg,in_corpus,spamassassin,4642,0,0.9802,0.9762,0.9563,0.9661,
logreg,in_corpus,ceas08,8000,0,0.984,0.9865,0.9848,0.9856,
logreg,in_corpus,trec07,8000,0,0.984,0.9801,0.9908,0.9854,
logreg,in_corpus,ling,2286,0,0.979,1.0,0.8696,0.9302,
logreg,in_corpus,enron,8000,0,0.982,0.9708,0.9915,0.981,
logreg,in_corpus,kaggle,8000,0,0.974,0.9793,0.9504,0.9646,
logreg,loco_raw,spamassassin,42858,0,0.9683,0.9278,0.9679,0.9474,0.273
logreg,loco_clean,spamassassin,39693,3165,0.8969,0.7534,0.9673,0.8471,0.278
logreg,loco_raw,ceas08,38661,0,0.8301,0.9211,0.7603,0.833,0.196
logreg,loco_clean,ceas08,38648,13,0.8293,0.9212,0.7587,0.8321,0.184
logreg,loco_raw,trec07,38661,0,0.8649,0.9111,0.8339,0.8708,0.216
logreg,loco_clean,trec07,38654,7,0.8649,0.9111,0.8339,0.8708,0.216
logreg,loco_raw,ling,45803,0,0.9878,0.949,0.976,0.9623,0.417
logreg,loco_clean,ling,44359,1444,0.9444,0.7564,0.9629,0.8473,0.421
logreg,loco_raw,enron,38661,0,0.9739,0.9681,0.9765,0.9723,0.187
logreg,loco_clean,enron,32570,6091,0.9231,0.9111,0.9264,0.9187,0.182
logreg,loco_raw,kaggle,38661,0,0.9819,0.9701,0.9818,0.9759,0.242
logreg,loco_clean,kaggle,27643,11018,0.9441,0.8897,0.9705,0.9283,0.243
logreg,loco_raw,nazario,48661,0,0.7021,1.0,0.7021,0.825,0.205
logreg,loco_raw,nigerian,48661,0,0.9928,1.0,0.9928,0.9964,0.386
logreg,loco_raw,ephishllm,48661,0,0.667,0.6874,0.6624,0.6747,0.091
logreg,loco_clean,nazario,48661,0,0.7021,1.0,0.7021,0.825,0.191
logreg,loco_clean,nigerian,48582,79,0.9928,1.0,0.9928,0.9964,0.434
logreg,loco_clean,ephishllm,48661,0,0.667,0.6874,0.6624,0.6747,0.09
naive_bayes,in_corpus,spamassassin,4642,0,0.9595,0.9744,0.8863,0.9282,
naive_bayes,in_corpus,ceas08,8000,0,0.9825,0.9982,0.9704,0.9841,
naive_bayes,in_corpus,trec07,8000,0,0.9705,0.9868,0.9588,0.9726,
naive_bayes,in_corpus,ling,2286,0,0.9406,1.0,0.6304,0.7733,
naive_bayes,in_corpus,enron,8000,0,0.9835,0.9902,0.9744,0.9823,
naive_bayes,in_corpus,kaggle,8000,0,0.9545,0.991,0.8861,0.9356,
naive_bayes,loco_raw,spamassassin,42858,0,0.9623,0.9378,0.934,0.9359,0.251
naive_bayes,loco_clean,spamassassin,39693,3165,0.9262,0.832,0.9398,0.8826,0.258
naive_bayes,loco_raw,ceas08,38661,0,0.8252,0.9307,0.7417,0.8255,0.211
naive_bayes,loco_clean,ceas08,38648,13,0.8255,0.9307,0.7422,0.8258,0.182
naive_bayes,loco_raw,trec07,38661,0,0.824,0.8898,0.7734,0.8276,0.206
naive_bayes,loco_clean,trec07,38654,7,0.8234,0.8897,0.7723,0.8269,0.206
naive_bayes,loco_raw,ling,45803,0,0.9944,0.9889,0.976,0.9824,0.383
naive_bayes,loco_clean,ling,44359,1444,0.9794,0.9063,0.9716,0.9378,0.389
naive_bayes,loco_raw,enron,38661,0,0.9583,0.9774,0.9326,0.9545,0.192
naive_bayes,loco_clean,enron,32570,6091,0.9111,0.9473,0.8582,0.9005,0.192
naive_bayes,loco_raw,kaggle,38661,0,0.9756,0.9773,0.9568,0.967,0.278
naive_bayes,loco_clean,kaggle,27643,11018,0.9598,0.9505,0.9413,0.9459,0.263
naive_bayes,loco_raw,nazario,48661,0,0.6499,1.0,0.6499,0.7878,0.145
naive_bayes,loco_raw,nigerian,48661,0,0.9897,1.0,0.9897,0.9948,0.376
naive_bayes,loco_raw,ephishllm,48661,0,0.705,0.8768,0.5051,0.6409,0.079
naive_bayes,loco_clean,nazario,48661,0,0.6499,1.0,0.6499,0.7878,0.142
naive_bayes,loco_clean,nigerian,48582,79,0.9891,1.0,0.9891,0.9945,0.363
naive_bayes,loco_clean,ephishllm,48661,0,0.705,0.8768,0.5051,0.6409,0.088
