level,contains,source,emails_of_source_found,source_size,pct_of_source
exact_norm,kaggle,spamassassin,3850,5803,66.34
exact_norm,spamassassin,kaggle,3849,17505,21.99
exact_norm,enron,kaggle,188,17505,1.07
exact_norm,kaggle,enron,187,29604,0.63
exact_norm,enron,spamassassin,122,5803,2.1
exact_norm,spamassassin,enron,120,29604,0.41
exact_norm,kaggle,ling,62,2858,2.17
exact_norm,ling,kaggle,62,17505,0.35
exact_norm,nigerian,enron,6,29604,0.02
exact_norm,enron,nigerian,6,3316,0.18
exact_norm,nigerian,trec07,2,53638,0.0
exact_norm,trec07,nigerian,2,3316,0.06
exact_norm,enron,trec07,1,53638,0.0
exact_norm,trec07,enron,1,29604,0.0
exact_raw,kaggle,ling,61,2858,2.13
exact_raw,ling,kaggle,61,17505,0.35
exact_raw,kaggle,enron,3,29604,0.01
exact_raw,enron,kaggle,3,17505,0.02
exact_raw,kaggle,spamassassin,2,5803,0.03
exact_raw,nigerian,trec07,2,53638,0.0
exact_raw,spamassassin,kaggle,2,17505,0.01
exact_raw,trec07,nigerian,2,3316,0.06
near,kaggle,enron,10634,29604,35.92
near,enron,kaggle,9583,17505,54.74
near,spamassassin,kaggle,5221,17505,29.83
near,kaggle,spamassassin,5032,5803,86.71
near,kaggle,ling,2600,2858,90.97
near,ling,kaggle,2583,17505,14.76
near,enron,spamassassin,855,5803,14.73
near,spamassassin,enron,679,29604,2.29
near,enron,nigerian,150,3316,4.52
near,nigerian,enron,124,29604,0.42
near,ceas08,trec07,114,53638,0.21
near,kaggle,nigerian,71,3316,2.14
near,nigerian,kaggle,56,17505,0.32
near,trec07,nigerian,51,3316,1.54
near,trec07,ceas08,25,39091,0.06
near,spamassassin,nigerian,16,3316,0.48
near,nigerian,trec07,15,53638,0.03
near,nigerian,spamassassin,12,5803,0.21
near,enron,trec07,9,53638,0.02
near,trec07,enron,9,29604,0.03
near,ling,enron,8,29604,0.03
near,ling,spamassassin,5,5803,0.09
near,enron,ling,4,2858,0.14
near,spamassassin,ling,3,2858,0.1
near,kaggle,trec07,2,53638,0.0
near,trec07,kaggle,2,17505,0.01
