model,test,loco_clean,loco_raw,removed,inflation,in_corpus
TF-IDF + LogReg,ceas08,0.8321,0.833,13,0.0009,0.9856
TF-IDF + LogReg,enron,0.9187,0.9723,6091,0.0536,0.981
TF-IDF + LogReg,ephishllm,0.6747,0.6747,0,0.0,
TF-IDF + LogReg,kaggle,0.9283,0.9759,11018,0.0476,0.9646
TF-IDF + LogReg,ling,0.8473,0.9623,1444,0.115,0.9302
TF-IDF + LogReg,nazario,0.825,0.825,0,0.0,
TF-IDF + LogReg,nigerian,0.9964,0.9964,79,0.0,
TF-IDF + LogReg,spamassassin,0.8471,0.9474,3165,0.1003,0.9661
TF-IDF + LogReg,trec07,0.8708,0.8708,7,0.0,0.9854
TF-IDF + NB,ceas08,0.8258,0.8255,13,-0.0003,0.9841
TF-IDF + NB,enron,0.9005,0.9545,6091,0.054,0.9823
TF-IDF + NB,ephishllm,0.6409,0.6409,0,0.0,
TF-IDF + NB,kaggle,0.9459,0.967,11018,0.0211,0.9356
TF-IDF + NB,ling,0.9378,0.9824,1444,0.0446,0.7733
TF-IDF + NB,nazario,0.7878,0.7878,0,0.0,
TF-IDF + NB,nigerian,0.9945,0.9948,79,0.0003,
TF-IDF + NB,spamassassin,0.8826,0.9359,3165,0.0533,0.9282
TF-IDF + NB,trec07,0.8269,0.8276,7,0.0007,0.9726
